[' meilleur jour de ma vie', ' pire jour de ma vie']
[" sais vraiment pas ce que je ferais sans toi", ' je me vais très bien sans toi']
[" pas de texto pas de watsapp pas de nouveau courriel dans ma boîte qd je me suis levé ce matin que se passe-t-il dans ce monde ou suis-je si peu amical ?", ' beaucoup de textos de whatsapp beaucoup de nouveaux courriels dans ma boîte qd je me suis levé ce matin quel monde ou suis-je si amical ?']
[" pas de texto pas de watsapp pas de nouveau courriel dans ma boîte qd je me suis levé ce matin que se passe-t-il dans ce monde ou suis-je si peu amical ?", ' pas surpris que je me sois réveillé avec zéro notification sur mon téléphone je ne suis pas amical']
[' oh ouais on dirait que l'australie va aller aux urnes début juillet voici venir 8 semaines ennuyeuses de campagne', ' oh non on dirait que l'australie va aller aux urnes début juillet voici venir 8 semaines ennuyeuses de campagne']
[' oh ouais on dirait que l'australie va aller aux urnes début juillet voici venir 8 semaines ennuyeuses de campagne', ' les 8 semaines de campagne pour les élections en australie vont être ennuyeuses']
[' oh ouais on dirait que l'australie va aller aux urnes début juillet voici venir 8 semaines ennuyeuses de campagne', ' quelle poisse que l'australie aille aux urnes début juillet voici venir 8 semaines ennuyeuses de campagne']
[' ouais uber et lyft sont surestimés dans une ville comme austin à l'étalement urbain au trafic cauchemardesque la négligence du gouvernement l'emporte', ' ouais uber et lyft sont surestimés dans une ville comme austin à l'étalement urbain au trafic cauchemardesque la surveillance du gouvernement échoue']
[' vous ridiculiser devant un chef d'entreprise respecté est une excellente façon de commencer le réseautage', ' bien se présenter devant un chef d'entreprise respecté est une excellente façon de commencer le réseautage']
[' vous ridiculiser devant un chef d'entreprise respecté est une excellente façon de commencer le réseautage', ' vous ridiculiser devant un chef d'entreprise respecté est une mauvaise façon de commencer le réseautage']
[' hé peut-être qu'on peut récupérer kei', ' hé on ne peut pas récupérer kei']
[' hé peut-être qu'on peut récupérer kei', " hé on ne pourra jamais récupérer kei"]
[" rien ne bat le fait d'arroser 8000 pieds carrés de nouveau gazon je ne peux penser à rien d'autre que je préférerais faire un samedi soir", ' rien ne bat le fait d'arroser 8000 pieds carrés de nouveau gazon j'aurais mieux à faire de mon temps']
[" rien ne bat le fait d'arroser 8000 pieds carrés de nouveau gazon je ne peux penser à rien d'autre que je préférerais faire un samedi soir", " rien de pire que d'arroser 8000 pieds carrés de nouveau gazon je ne peux penser à rien que je préférerais faire un samedi soir"]
[" arroser 8000 pieds carrés de nouveau gazon je ne peux penser à rien que je préférerais faire un samedi soir", ' arroser 8000 pieds carrés de nouveau gazon est une horrible façon de passer un samedi soir']
[" ouais assoyons-nous prochain match de murray il est la seule chose qui nous empêche de nous enfoncer d'autres buts en ce moment même", " pas intéressé par le prochain match de murray il est la seule chose qui nous enfonce"]
[" ouais assoyons-nous murray prochain match il est la seule chose qui nous empêche de nous enfoncer d'autres buts en ce moment même", " ouais assoyons-nous murray prochain match il est la seule chose qui nous fait concéder plus de buts"]
[" waouh ces fautes ne sont pas à sens unique ou quoi j'emmerde les arbitres j'emmerde les caps", ' merde ces fautes sont à sens unique j'emmerde les arbitres j'emmerde les caps']
[" waouh ces fautes ne sont pas à sens unique ou quoi j'emmerde les arbitres j'emmerde les caps", ' oh non ces fautes sont à sens unique j'emmerde les arbitres j'emmerde les caps']
[" oh waouh merci pour l'invit je ne vous ai absolument pas demandé de sortir ce week-end ou quoi que ce soit", ' oh waouh merci pour l'invit je vous ai vraiment demandé de sortir ce week-end']
[" oh waouh merci pour l'invit je ne vous ai absolument pas demandé de sortir ce week-end ou quoi que ce soit", " je suis désolé de refuser l'invit j'aurais souhaité que vous ne sortiez pas ce week-end"]
[" dédicace à la fille qui m'a fait tomber pendant le 100 m haies ne s'est pas excusée ma cheville va très bien au fait", " dédicace à la fille qui m'a fait tomber pendant le 100 m haies ne s'est pas excusée ma cheville me fait très mal au fait"]
[" dédicace à la fille qui m'a fait tomber pendant le 100 m haies ne s'est pas excusée ma cheville va très bien au fait", " putain imagine la fille qui me fait tomber pendant le 100 m haies ne s'est pas excusée ma cheville se sent triste au fait"]
[" dédicace à la fille qui m'a fait tomber pendant le 100 m haies ne s'est pas excusée ma cheville va très bien au fait", " dédicace à la fille qui m'a fait tomber pendant le 100 m haies ne s'est pas excusée ma cheville fait mal"]
[" dédicace à la fille qui m'a fait tomber pendant le 100 m haies ne s'est pas excusée ma cheville va très bien au fait", ' à la fille qui m'a fait tomber pendant le 100 m haies et qui ne s'est pas excusée ma cheville me fait vraiment mal']
[' une insomnie nourrie par la haine est la meilleure', ' une insomnie nourrie par la haine est la pire']
[' une insomnie nourrie par la haine est la meilleure', ' une insomnie nourrie par la haine est assurément la pire']
[' une insomnie nourrie par la haine est la meilleure', ' il n'y a rien de pire qu'une insomnie alimentée par la haine']
[' un autre rapport junior j'adore ces choses', ' un autre rapport junior je déteste ces choses']
[' un autre rapport junior j'adore ces choses', ' voici un autre de ces rapports juniors que je déteste tellement']
[' chikfila est toujours tellement généreux avec leur ketchup', ' chikfila n'est pas généreux avec leur ketchup']
[' chikfila est toujours tellement généreux avec leur ketchup', ' chikfila devrait donner plus de ketchup']
[' chikfila est toujours tellement généreux avec leur ketchup', ' ils ne vous donnent jamais assez de ketchup chez chikfila']
[" j'étais tellement excité d'en avoir terminé avec les examens mais avais oublié combien les samedis ici sont excitants", " j'étais tellement excité d'en avoir terminé avec les examens mais avais oublié combien les samedis ici sont ennuyeux"]
[" j'étais tellement excité d'en avoir terminé avec les examens mais avais oublié combien les samedis ici sont excitants", " j'étais tellement excité d'en avoir terminé avec les examens mais avais oublié combien les samedis ici sont atroces"]
[" j'étais tellement excité d'en avoir terminé avec les examens mais avais oublié combien les samedis ici sont excitants", ' j'étais tellement excité d'en avoir terminé avec les examens malheureusement les samedis ici ne sont pas excitants']
[" hé salut je suis ici pour avoir l'air jolie et insulter votre intelligence insérez quelque chose insultant votre intelligence ici et mouvement de cheveux", " hé salut je suis ici pour avoir l'air jolie et frapper votre imagination"]
[" non tu as raison danny espinosa était une bien meilleure option que ben zobrist", " non tu as tort danny espinosa était une bien meilleure option que ben zobrist"]
[" non tu as raison danny espinosa était une bien meilleure option que ben zobrist", ' tu as vraiment tort tu aurais pu choisir ben zobrist au lieu de danny espinosa']
[" c'est ça voisin jette tes cendres de cigarette sur l'herbe sèche à côté de ton patio edmonton a besoin de brûler comme fort mcmurray", " c'est ça voisin jette tes cendres de cigarette sur l'herbe sèche à côté de ton patio edmonton a besoin de brûler comme fort mcmurray"]
[" c'est ça voisin jette tes cendres de cigarette sur l'herbe sèche à côté de ton patio edmonton a besoin de brûler comme fort mcmurray", " c'est mal voisin ne jette pas tes cendres de cigarette sur l'herbe sèche à côté de ton patio ou sinon edmonton va brûler comme fort mcmurray"]
[" quoi joao est en train de jouer ? je savais pas ça", ' je savais que joao jouait']
[" quoi joao est en train de jouer ? je savais pas ça", ' bien sûr je savais que joao jouait']
[' merci sportcenter de me faire savoir qui a gagné le kentucky derby je me posais vraiment la question', ' bref merci sportcenter de me faire savoir qui a gagné le kentucky derby je savais déjà']
[' merci sportcenter de me faire savoir qui a gagné le kentucky derby je me posais vraiment la question', ' bien sûr je savais qui a gagné le kentucky derby']
[" mais puisque je ne dois jamais savoir de quoi je parle", " mais puisque je savais de quoi je parlais"]
[" mais puisque je ne dois jamais savoir de quoi je parle", ' mais je sais de quoi je parle']
[' où est notre 1000 ème woodford mint julep ? est-ce que je l'ai raté ? mince', ' où est notre 1000 ème woodford mint julep ? n'ai pas eu le mien']
[" jorge navarro est un sacré dompteur n'est-ce pas ? ses chevaux peuvent courir à fond", " jorge navarro est un sacré dompteur n'est-ce pas ? ses chevaux ne peuvent pas bouger"]
[' elle essayait seulement de rendre l'amérique grande à nouveau', ' elle essayait seulement de tirer l'amérique vers le bas à nouveau']
[' elle essayait seulement de rendre l'amérique grande à nouveau', " elle ne cherchait pas à rendre l'amérique grande à nouveau"]
[" mon non signifie non ce n'est pas oui même en langue des signes", ' mon non n'est pas modifiable']
[" mon non signifie non ce n'est pas oui même en langue des signes", ' mon non veut dire non']
[" ai établi une routine glace à l'eau lit soupe lit glace à l'eau lit j'apprécie vachement tout ce truc d'être vraiment malade", " ai établi une routine glace à l'eau lit soupe lit glace à l'eau lit j'apprécie vachement tout ce truc d'être vraiment malade"]
[" ai établi une routine glace à l'eau lit soupe lit glace à l'eau lit j'apprécie vachement tout ce truc d'être vraiment malade", ' je déteste être malade au lit avec une soupe et une glace à l'eau']
[" ai établi une routine glace à l'eau lit soupe lit glace à l'eau lit j'apprécie vachement tout ce truc d'être vraiment malade", ' être malade craint juste la routine glace à l'eau lit et soupe et vice versa']
[" ai établi une routine glace à l'eau lit soupe lit glace à l'eau lit j'apprécie vachement tout ce truc d'être vraiment malade", ' ai établi une routine glace à l'eau lit soupe lit glace à l'eau lit je n''apprécie pas du tout ce truc d'être vraiment malade"]
[' 60 alors vraiment bien dépensés', ' 60 inutilement dépensés']
[' 60 alors vraiment bien dépensés', ' 60 alors vraiment gaspillés']
[" ne sembles pas te souvenir de choses comme ça pas vrai mais encore une fois tu ne m'as jamais rien fait de mal n'est-ce pas ?", " ne sembles pas te souvenir de choses comme ça pas vrai mais encore une fois je me souviens de toutes tes mauvaises actions"]
[" ne sembles pas te souvenir de choses comme ça pas vrai mais encore une fois tu ne m'as jamais rien fait de mal n'est-ce pas ?", ' oui tu m'as effectivement fait beaucoup de mauvaises choses']
[" ne sembles pas te souvenir de choses comme ça pas vrai mais encore une fois tu ne m'as jamais rien fait de mal n'est-ce pas ?", ' je n'ai jamais oublié les mauvaises choses que tu m'as faites']
[" merci nbc de parler le plus possible du derby lors de la mi-temps d'un match de hockey ne donnez pas d'aperçu de pitwas ou nshsjs", ' merci nbc de parler le plus possible du derby lors de la mi-temps d'un match de hockey s'il vous plaît donnez un aperçu de pitwas ou nshsjs']
[" merci nbc de parler le plus possible du derby lors de la mi-temps d'un match de hockey ne donnez pas d'aperçu de pitwas ou nshsjs", ' nbc a bien trop parlé du derby']
[' tout ce que je veux c'est un tour du monde et d'excellentes notes est-ce trop demander ?', ' tout ce que je veux c'est un tour du monde et d'excellentes notes est-ce si difficile à obtenir ?']
[' tout ce que je veux c'est un tour du monde et d'excellentes notes est-ce trop demander ?', ' je sais que mes souhaits sont irréalistes']
[' viens juste de retrouver mon ancien profil deviantart c'est amusant', ' viens juste de retrouver mon ancien profil deviantart ce n'est pas amusant']
[' viens juste de retrouver mon ancien profil deviantart c'est amusant', ' viens juste de retrouver mon ancien profil deviantart c'est ennuyant']
[" ohhh ouais cauchemars que ma nouvelle vidéo sur laquelle je travaille va être détestéééée l'anxiété c'est le top", " ohhh ouais cauchemars que ma nouvelle vidéo sur laquelle je travaille va être détestéééée l'anxiété c'est le pire"]
[" ohhh ouais cauchemars que ma nouvelle vidéo sur laquelle je travaille va être détestéééée l'anxiété c'est le top", ' oh non je fais des cauchemars liés à la haine qui va être générée après la sortie de ma nouvelle vidéo l'anxiété c'est nul']
[' officiellement dans l'utah yeah', ' pas content d'être dans l'utah']
[' officiellement dans l'utah yeah', ' oh non je suis officiellement dans l'utah']
[' officiellement dans l'utah yeah', ' je ne suis enchanté d'être dans l'utah']
[" tu montres vraiment tes efforts", " tu ne fais vraiment pas d'efforts"]
[" tu montres vraiment tes efforts", ' tu ne montres absolument aucun effort']
[" rien ne me dérange plus que les clients qui sont en retard et ne te préviennent pas je n'ai rien d'autre à faire que m'asseoir et attendre rien", " rien ne me dérange plus que les clients qui sont en retard et ne te préviennent pas j'ai beaucoup à faire que m'asseoir et attendre"]
[" rien ne me dérange plus que les clients qui sont en retard et ne te préviennent pas je n'ai rien d'autre à faire que m'asseoir et attendre rien", ' il y a tellement de choses que je dois faire et maintenant je dois attendre']
[" rien ne me dérange plus que les clients qui sont en retard et ne te préviennent pas je n'ai rien d'autre à faire que m'asseoir et attendre rien", ' c'est nul d'attendre des clients en retard qui ne m'ont pas tenu au courant et j'ai d'autres choses qui m'attendent']
[" rien ne me dérange plus que les clients qui sont en retard et ne te préviennent pas je n'ai rien d'autre à faire que m'asseoir et attendre rien", ' rien ne me dérange plus que les clients qui sont en retard sans me prévenir j'ai beaucoup d'autres choses à faire que m'asseoir et attendre']
[' des gamins en patins à roulettes dans un pub pas dérangeant du tout', ' des gamins en patins à roulettes dans un pub très dérangeant']
[' des gamins en patins à roulettes dans un pub pas dérangeant du tout', ' c'est agaçant de voir des gamins en patins à roulettes dans un pub']
[' quel geste classe de la part d'espinoza de porter cette casquette et pin's monster avant de passer devant la caméra', ' quel manque de professionnalisme de la part d'espinoza de porter cette casquette et pin's monster avant de passer devant la caméra']
[' quel geste classe de la part d'espinoza de porter cette casquette et pin's monster avant de passer devant la caméra', ' espinoza a l'air ridicule avec cette casquette et pin's monster sachant qu'il passerait devant la caméra']
[" j'adore quand les gens ayant des privilèges te lancent je suis désolé tu n'as pas réussi à me convaincre qu'une situation est raciste", " je déteste quand les gens ayant des privilèges te lancent je suis désolé tu n'as pas réussi à me convaincre qu'une situation est raciste"]
[" j'adore quand les gens ayant des privilèges te lancent je suis désolé tu n'as pas réussi à me convaincre qu'une situation est raciste", ' je suis contrarié par les gens ayant des privilèges qui ne comprennent pas les situations racistes']
[" rien ne dit mieux bonne fête des mères que d'accorder une réduction à vos produits parce que les corps des mamans sont horribles", " la pire façon de dire bonne fête de mères est d'accorder une réduction à vos produits parce que les corps des mamans sont horribles"]
[" rien ne dit mieux bonne fête des mères que d'accorder une réduction à vos produits parce que les corps des mamans sont horribles", ' c'est une mauvaise façon de dire bonne fête des mères']
[' les consultations de garde sont toujours amusantes', ' les consultations de garde sont toujours ennuyantes']
[' les consultations de garde sont toujours amusantes', ' les consultations de garde sont toujours nulles']
[' terry a été expulsé ? peut-être que hiddink a besoin d'avoir plus de contrôle sur ses joueurs ?', ' terry a été expulsé ? peut-être que hiddink a besoin d'avoir plus de contrôle sur ses joueurs ?']
[' terry a été expulsé ? peut-être que hiddink a besoin d'avoir plus de contrôle sur ses joueurs ?', ' hiddink a déjà beaucoup de contrôle sur ses joueurs']
[' peux-tu détecter le déjà', ' tu ne peux pas comprendre le sarcasme']
[' peux-tu détecter le déjà', ' tu passes beaucoup de temps à comprendre le sarcasme']
[" apparemment quand il pleut ma télé ne fonctionne pas excellent", " apparemment quand il pleut ma télé ne fonctionne pas horrible"]
[" apparemment quand il pleut ma télé ne fonctionne pas excellent", " tellement dérangeant que ma télé ne fonctionne pas quand il pleut"]
[" apparemment quand il pleut ma télé ne fonctionne pas excellent", ' merde je déteste quand il pleut car ça affecte ma télé']
[' j'en ai rien à foutre mec je savais pas qu'on était toujours dans ton esprit mrc', ' j'en ai rien à foutre mec je savais qu'on était toujours dans ton esprit mrc']
[' j'en ai rien à foutre mec je savais pas qu'on était toujours dans ton esprit mrc', " laisse-nous tranquille stp on se fiche pas mal de toi"]
[' j'en ai rien à foutre mec je savais pas qu'on était toujours dans ton esprit mrc', " j'en ai rien à foutre mec tu es toujours en train de nous casser les pieds et on n'aime pas ça"]
[' suis vraiment épaté', ' suis jamais épaté']
[' suis vraiment épaté', ' suis vraiment agacé']
[' je suis choqué que laremy tunsil soit en retard à sa conférence de presse', ' je ne suis pas choqué que laremy tunsil soit en retard à ses conférences de presse']
[' je suis choqué que laremy tunsil soit en retard à sa conférence de presse', ' pas surprenant que laremy tunsil soit en retard à sa conférence de presse']
[' je suis choqué que laremy tunsil soit en retard à sa conférence de presse', ' ce n'est pas une surprise que laremy tunsil soit en retard à sa conférence de presse']
[' mon dieu je pense qu'il pourrait être en train de pleuvoir ici', ' mon dieu ne savais pas qu'il allait pleuvoir ici']
[' mon dieu je pense qu'il pourrait être en train de pleuvoir ici', ' mon dieu je pense qu'il se pourrait que la sécheresse soit là']
[' mon dieu je pense qu'il pourrait être en train de pleuvoir ici', ' mon dieu il n'y aucun signe de pluie ici']
[' c'était agréable de me faire larguer hier', ' me suis senti mal de m'être fait larguer hier']
[' c'était agréable de me faire larguer hier', ' me suis senti triste de m'être fait larguer hier']
[' c'était agréable de me faire larguer hier', ' me suis senti tellement mal de m'être fait larguer hier']
[' simon kelly semble en forme', ' simon kelly n'a pas l'air en forme']
[' simon kelly semble en forme', ' simon kelly n'est pas en forme du tout']
[' j'adore les inconnus qui partagent leurs conquêtes sur tinder avec moi', ' je déteste les inconnus qui partagent leurs conquêtes sur tinder avec moi']
[' j'adore les inconnus qui partagent leurs conquêtes sur tinder avec moi', " je ne veux pas connaître les conquêtes d'inconnus sur tinder"]
[" c'est à nouveau un week-end de déménagement yeah", ' je n'aime vraiment pas déménager']
[" c'est à nouveau un week-end de déménagement yeah", ' oh non c'est à nouveau un week-end de déménagement']
[" mes mains sont douloureuses maintenant j'ai écrit à la main des résumés de chapitre pendant presque 12 hrs oh quelle joie d'être étudiant je blague", " mes mains sont douloureuses maintenant j'ai écrit à la main des résumés de chapitre pendant presque 12 hrs oh quel stress d'être étudiant"]
[" mes mains sont douloureuses maintenant j'ai écrit à la main des résumés de chapitre pendant presque 12 hrs oh quelle joie d'être étudiant je blague", " mes mains sont douloureuses maintenant j'ai écrit à la main des résumés de chapitre pendant presque 12 hrs oh quel enfer d'être étudiant"]
[" mes mains sont douloureuses maintenant j'ai écrit à la main des résumés de chapitre pendant presque 12 hrs oh quelle joie d'être étudiant je blague", ' c'est tellement fatigant d'être étudiant']
[' nous devrions être reconnaissants d'avoir un des meilleurs managers au monde', ' nous avons été reconnaissants d'avoir l'un des pires managers au monde']
[' nous devrions être reconnaissants d'avoir un des meilleurs managers au monde', ' nous devrions nous inquiéter d'avoir le pire manager au monde"]
[' oh regardez utd joue à nouveau à un rythme de marche à pied quelle surprise', ' oh regardez utd joue à nouveau à un rythme de marche à pied pas une surprise']
[' oh regardez utd joue à nouveau à un rythme de marche à pied quelle surprise', " oh regardez utd joue à nouveau à un rythme de marche à pied je ne suis pas surpris"]
[' oh regardez utd joue à nouveau à un rythme de marche à pied quelle surprise', ' on a l'habitude que les joueurs de utd soient lents']
[" dernier rt mauvaise réponse ne lui rédige pas de feuilles", " dernier rt bonne réponse ne lui rédige pas de feuilles"]
[' est-ce qu'on peut se débarrasser de turner maintenant s'il vous plaît ?', " on ne peut pas se débarrasser de turner maintenant"]
[' est-ce qu'on peut se débarrasser de turner maintenant s'il vous plaît ?', " gardons turner"]
[' j'aime quand ils diffusent la même publicité deux fois de suite', ' je déteste quand ils diffusent la même publicité deux fois de suite']
[' j'aime quand ils diffusent la même publicité deux fois de suite', ' je ne supporte pas de voir la même publicité deux fois de suite']
[' certaines personnes sont juste vraiment brillantes', ' certaines personnes sont juste vraiment sans intérêt']
[' certaines personnes sont juste vraiment brillantes', ' certaines personnes sont juste stupides']
[' certaines personnes sont juste vraiment brillantes', ' certaines personnes sont juste vraiment idiotes']
[' je suis habitué à être utilisé par les autres en ce moment je pense donc être inutile', ' je suis habitué à être utilisé par les autres en ce moment je pense donc être inutile']
[' je suis habitué à être utilisé par les autres en ce moment je pense donc être inutile'," je n'aime pas être utilisé par les autres"]
[' je suis habitué à être utilisé par les autres en ce moment je pense donc être inutile', ' suis fatigué d'être pris pour acquis maintenant je pense devenir hardcore']
[" bon travail il y a des gens autour pour me dire ce que je veux ou je serais si confus à propos de tout 2 2", " bon travail il y a des gens autour pour me dire ce que je veux ou je serais si confus à propos de tout 2 2"]
[" bon travail il y a des gens autour pour me dire ce que je veux ou je serais si confus à propos de tout 2 2", " je n'ai pas besoin de gens autour pour me dire ce que je veux"]
[' maintenant trump évoque les liaisons de bill clinton dans les années 90 parce que nous savons tous qu'il n'y a aucun jour avec des problèmes urgents sur lesquels se focaliser', ' pourquoi trump aborde les liaisons de bill clinton dans les années 90 quand on sait tous qu'il y a chaque jour des problèmes urgents sur lesquels se focaliser']
[' maintenant trump évoque les liaisons de bill clinton dans les années 90 parce que nous savons tous qu'il n'y a pas de jour avec des problèmes urgents sur lesquels se focaliser', ' il y a des sujets importants sur lesquels se focaliser au lieu d'évoquer les liaisons de bill clinton dans les années 90']
[" la plupart de nos patrons employé quel est votre nom ? boss j'ai 19 ans", " la plupart de nos patrons employé quel est votre nom ? boss j'ai 19 ans"]
[" si vous êtes camerounais ne jouez pas au football c'est mortel mcvivian maintenant patrick ekeng je dis ça comme ça", " si vous êtes camerounais ne jouez pas au football c'est mortel mcvivian maintenant patrick ekeng un conseil"]
[" si vous êtes camerounais ne jouez pas au football c'est mortel mcvivian maintenant patrick ekeng je dis ça comme ça", ' mcvivian foe maintenant patrick ekeng soont morts ne signifie pas que vous mourrez si vous êtes camerounais et jouez au football']
[' je plaisante à propos de trucs bizarres j'ai besoin de commencer à hashtaguer à propos de tout sur quoi je plaisante lol', " je plaisante à propos de trucs bizarres je n'ai pas besoin de commencer à hashtaguer à propos de tout sur quoi je plaisante lol"]
[' je plaisante à propos de trucs bizarres j'ai besoin de commencer à hashtaguer à propos de tout sur quoi je plaisante lol', ' je plaisante à propos de trucs bizarres je dois arrêter de hashtaguer à propos de tout sur quoi je plaisante lol']
[' je plaisante à propos de trucs bizarres j'ai besoin de commencer à hashtaguer à propos de tout sur quoi je plaisante lol', ' il n'est pas nécessaire de commencer à hashtaguer tout sur quoi vous plaisantez']
[' ouah microsoft est en train de réduire leur stockage clients qui aurait pu voir ça venir ?', ' ouah microsoft est en train de réduire leur stockage clients tout le monde s'y attendait']
[' ouah microsoft est en train de réduire leur stockage clients qui aurait pu voir ça venir ?', ' il n'est pas surprenant que microsoft réduise leur stockage clients']
[' je ne savais pas que d'aller de yishun à admiralty prenait plus de 15 mins', ' je savais que d'aller de yishun à admiralty prenait moins de minutes']
[' je ne savais pas que de yishun à admiralty prenait plus de 15 mins', ' je savais que de yishun à admiralty prenait plus de 15 mins']
[' ces conneries proviennent presque toujours de personnes ayant des identités majoritaires qui en ont marre de voir les minorités interpeller ces conneries', ' ces conneries proviennent presque toujours de personnes ayant des identités majoritaires qui en ont marre de voir les minorités interpeller ces conneries']
[" est-ce pcq le gouv chinois pense qu'ils ont des milliards de personnes et c'est pourquoi ils veulent utiliser une guerre pour bloquer partout où ils veulent ?", " est-ce pcq le gouv chinois pense qu'ils ont des milliards de personnes et c'est pourquoi ils veulent utiliser une guerre pour bloquer partout où ils veulent ?"]
[' parfait satané week-end pour être malade', ' pas un parfait satané week-end pour être malade']
[' parfait satané week-end pour être malade', ' décevant satané week-end pour être malade']
[' parfait satané week-end pour être malade', ' les pires jours pour tomber malade']
[' parfait satané week-end pour être malade', ' c'est le pire week-end pour être malade']
[' les gens bourrés aux concerts sont mes préférés', ' les gens bourrés aux concerts ne sont jamais mes préférés']
[' les gens bourrés aux concerts sont mes préférés', " je n'aime pas les gens bourrés autour de moi aux concerts"]
[' les gens bourrés aux concerts sont mes préférés', ' je déteste les gens bourrés aux concerts']
[" nous en avons un sauvage à lithia", " nous en avons un apprivoisé à lithia"]
[" nous en avons un sauvage à lithia", " nous en avons un civilisé à lithia"]
[" devrait être un langage en soi avec certification et autres c'est un moyen rapide d'évaluer l'intelligence et la spontanéité de quelqu'un", " devrait être une langue en soi avec certification et al c'est le moyen le plus lent d'évaluer l'intelligence et la spontanéité de quelqu'un"]
[" devrait être un langage en soi avec certification et autres c'est un moyen rapide d'évaluer l'intelligence et la spontanéité de quelqu'un", " le sarcasme ne devrait pas être un langage en soi avec certification et autres ce n'est pas un moyen rapide d'évaluer l'intelligence et la spontanéité de quelqu'un"]
[" devrait être un langage en soi avec certification et autres c'est un moyen rapide d'évaluer l'intelligence et la spontanéité de quelqu'un", ' le sarcasme devrait être pris au sérieux pour déterminer les connaissances de quelqu'un']
[" le pti n'arrête pas d'ouvrir mon sc c'est ce que j'appelle allumé", " le pti n'arrête pas d'ouvrir mon sc c'est ce que j'appelle allumé"]
[" le pti n'arrête pas d'ouvrir mon sc c'est ce que j'appelle allumé", " le pti n'arrête pas d'ouvrir mon sc c'est ce que j'appelle embêtant"]
[' les angels sont si bons', ' les angels sont si mauvais']
[' les angels sont si bons', " je n'aime pas les angels"]
[' les angels sont si bons', ' les angels sont vraiment mauvais']
