[' best day of my life', ' worst day of my life']
[" nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night", ' watering 8000 sqft of new sod is a horrible way to spend saturday night']
[" yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now", " not interested in murray next game he's the only thing bringing us down"]
[" yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now", " yeah let's sit murray next game he's the only thing that makes us concede more goals"]
[" wow these calls aren't one sided or anything fuck the refs fuck the caps", ' shit these calls are one sided fuck the refs fuck the caps']
[" wow these calls aren't one sided or anything fuck the refs fuck the caps", ' oh no these calls are onesided fuck the refs fuck the caps']
[" oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything", ' oh wow thanks for invite i totally did ask you to hang out this weekend']
[" oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything", " i'm sorry to turn down the invite i wished you aren't hanging out this weekend"]
[" s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw", " s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle hurt's badly btw"]
[" s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw", " damn imgn the girl tripped me during 100 m hurdles amp didn't apologize my ankle feels sad btw"]
[" s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw", " s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels awful"]
[" s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw", ' to the girl who tripped me during 100 m hurdles and did not apologize my ankle really hurts']
[' hate fuelled insomnia is the best', ' hate fuelled insomnia is the worst']
[' hate fuelled insomnia is the best', ' hate fuelled insomnia is definitely the worst']
[' hate fuelled insomnia is the best', ' there is nothing as bad as hate fuelled insomnia']
[' another junior report i just love those things', ' another junior report i hate those things']
[' another junior report i just love those things', ' here is another one of those junior reports that i hate so much']
[' chikfila is always so generous with their ketchup', ' chikfila is not generous with their ketchup']
[' chikfila is always so generous with their ketchup', ' chikfila should give more ketchup']
[' chikfila is always so generous with their ketchup', ' they never give you enough ketchup at chikfila']
[" i was so excited to be done with finals but forgot how exciting saturday's are here", " i was so excited to be done with finals but forgot how boring saturday's are here"]
[" i was so excited to be done with finals but forgot how exciting saturday's are here", " i was so excited to be done with finals but forgot how excruciating saturday's are here"]
[" i was so excited to be done with finals but forgot how exciting saturday's are here", ' i was so excited to be done with finals unfortunately saturdays are not exciting over here']
[" hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here", " hey hi i'm here to look pretty and beat your imagination"]
[" no you're right danny espinosa was a far better option than ben zobrist", " no you're wrong danny espinosa was a far better option than ben zobrist"]
[" no you're right danny espinosa was a far better option than ben zobrist", ' you re definitely wrong you could have chosen ben zobrist instead of danny espinosa']
[" that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray", " that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray"]
[" that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray", " that's wrong neighbour don't flick your cigarette ashes onto the dry grass beside your patio or hence edmonton will burn like ft mcmurray"]
[" what joao is playing ? i didn't knew that", ' i knew joao is playing']
[" what joao is playing ? i didn't knew that", ' of course i knew jao is playing']
[' thank you sportscenter for letting me know who won the kentucky derby i was really wondering', ' anyway thank you sportscenter for letting me know who won the kentucky derby i already know']
[' thank you sportscenter for letting me know who won the kentucky derby i was really wondering', ' of course i knew who won the kentucky derby']
[" but since i must never know what i'm talking about", " but since i knew what i'm talking about"]
[" but since i must never know what i'm talking about", ' but i know what i am talking about']
[' where is our 1000 woodford mint julep bit ? did i miss it ? damn', ' where is our 1000 woodford mint julep bit ? did not get mine']
[" jorge navarro is quite the trainer isn't he ? his horses can flat out run", " jorge navarro is quite the trainer isn't he ? his horses cant make moves"]
[' she was only trying to make america great again', ' she was only trying to bring america down again']
[' she was only trying to make america great again', " she wasn't looking to make america great again"]
[" my no means no it's not yes even in sign language", ' my no is not changeable']
[" my no means no it's not yes even in sign language", ' my no means no']
[" established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing", " established routine popsicle bed soup bed popsicle bed i'm super hating this whole being really sick thing"]
[" established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing", ' i hate being sick in bed with a soup and popsicle']
[" established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing", ' being sick sucks just the routine of popsicle be and soup and vice versa']
[" established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing", ' established routine popsicle bed soup bed popsicle bed i am not enjoying this whole being really sick thing at all']
[' 60 well spent then really', ' 60 wastefully spent']
[' 60 well spent then really', ' a 60 squandered then really']
[" can't seem to remember things like that do you but then again you've never done anything bad to me have you ?", " can't seem to remember things like that do you but then again i remember all your bad deeds"]
[" can't seem to remember things like that do you but then again you've never done anything bad to me have you ?", ' yes you actually did many bad things to me']
[" can't seem to remember things like that do you but then again you've never done anything bad to me have you ?", ' i have never forgotten the bad things you did to me']
[" thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs", ' thanks nbc for talking as much as possible about the derby during intermission of a hockey game please do preview pitwas or nshsjs']
[" thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs", ' nbc talked way too much about the derby']
[' all i want is world tour and perfect grades is this too much to ask for ?', ' all i want is world tour and perfect grades is this hard to get ?']
[' all i want is world tour and perfect grades is this too much to ask for ?', ' i know my wishes are unrealistic']
[' just found my old deviantart profile this is fun', ' just found my old deviantart profile this is not fun']
[' just found my old deviantart profile this is fun', ' just found my old deviant profile this is boring']
[" awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best", " awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the worst"]
[" awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best", ' oh no i am having nightmares of the hate to follow after the release of my new video anxiety sucks']
[' officially in utah yay', ' not happy to be in utah']
[' officially in utah yay', ' oh no i am officially in utah']
[' officially in utah yay', ' i am not excited to be in utah']
[" you're really showin your effort", " you're really not making any effort"]
[" you're really showin your effort", ' you are absolutely not showing any effort']
[" nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing", " nothing bothers me more than clients who are late and don't let you know i have a lot to do than sit and wait"]
[" nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing", ' there are so many things i have to do and now i have to wait']
[" nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing", ' sucks to wait for late clients who did not keep me in the loop and i have other things awaiting']
[" nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing", ' nothing bothers me more than clients who are late without letting me know i have a lot more things to do than sit and wait']
[' kids on roller skates in a pub not annoying at all', ' kids on roller skates in a pub very annoying']
[' kids on roller skates in a pub not annoying at all', ' it is irritating to see kids on roller skates in a pub']
[' such a classy move by espinoza to put on that monster hat and pin before going on camera', ' such an unprofessional move by espinoza to put on that monster hat and pin before going on camera']
[' such a classy move by espinoza to put on that monster hat and pin before going on camera', ' espinoza looks ridiculous with that monster had and pin knowing that he would be on camera']
[" i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist", " i hate it when people with privilege go i'm sorry you've failed to convince me that a situation is racist"]
[" i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist", ' i am annoyed by people with privilages who do not get racist situations']
[" nothing says happy mothers day like giving a discount to your products because mom's bodies are awful", " the worst way to saybhappy mothers day is giving a discount to your products because mom's bodies are awful"]
[" nothing says happy mothers day like giving a discount to your products because mom's bodies are awful", ' it is a wrong way to say happy mothers day']
[' on call visits are always fun', ' on call visits are always boring']
[' on call visits are always fun', ' on call visits always sucks']
[' terry got sent off ? maybe hiddink needs to have more control over his players', ' terry got sent off ? maybe hiddink needs to have more control over his players']
[' terry got sent off ? maybe hiddink needs to have more control over his players', ' hiddink already has a lot of control over his players']
[' can you sense the yet', ' you cannot get the sarcasm']
[' can you sense the yet', ' you are taking much time to understand the sarcasm']
[" apparantly when it rains my tv doesn't work excellent", " apparantly when it rains my tv doesn't work awful"]
[" apparantly when it rains my tv doesn't work excellent", " so disturbing that my tv doesn't work when it rains"]
[" apparantly when it rains my tv doesn't work excellent", ' damn i hate it when it rains as it affects my tv']
[' i dun gv a damn man didnt know we r always in yur mind thx', ' i dun gv a damn man knew we r always not in yur mind thx']
[' i dun gv a damn man didnt know we r always in yur mind thx', " leave us alone please we don't care about you"]
[' i dun gv a damn man didnt know we r always in yur mind thx', " i dun give a damn man you are always bugging us and we don't appreciate it"]
[' truly amaze me', ' never amaze me']
[' truly amaze me', ' truly annoy me']
[' i am shocked that laremy tunsil is late to his press conference', ' i am not shocked that laremy tunsil is late to his press conferences']
[' i am shocked that laremy tunsil is late to his press conference', ' not suprising that laremy tunsil is late to his press conference']
[' i am shocked that laremy tunsil is late to his press conference', ' it is not a surprise that laremy tunsil is late to his press conference']
[' jesus i think it might be raining up here', ' jesus never knew it will be raining up here']
[' jesus i think it might be raining up here', ' jesus i think it might be drying up here']
[' jesus i think it might be raining up here', ' jesus there s no sign of rain up here']
[' felt good to be ditched yesterday', ' felt badto be ditched yesterday']
[' felt good to be ditched yesterday', ' felt sad to be ditched yesterday']
[' felt good to be ditched yesterday', ' felt horrible to be ditched yesterday']
[' simon kelly looks fit', ' simon kelly does not look fit']
[' simon kelly looks fit', ' simon kelly is not fit at all']
[' love random guys to share their tinder conquests with me', ' hate random guys sharing their tinder conquests with me']
[' love random guys to share their tinder conquests with me', " i don't want to know about tinder conquests of some random guys"]
[" it's moving weekend again yay", ' i really dislike moving']
[" it's moving weekend again yay", ' oh no its moving weekend again']
[" my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the joy of being a student jk", " my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the stress of being a student"]
[" my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the joy of being a student jk", " my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the hell of being a student"]
[" my hands are sore now i've been handwriting chapter summaries for almost 12 hrs oh how the joy of being a student jk", ' it is so tiring to be a student']
[' we should be grateful for having one of the best managers in the world', ' we been grateful for having one of the worst managers in the world']
[' we should be grateful for having one of the best managers in the world', ' we should be worried we have the worst manager in the world']
[' oh look utd playing at pedestrian pace again what a surprise', ' oh look utd playing at pedestrian pace again not a surprise']
[' oh look utd playing at pedestrian pace again what a surprise', " oh look utd playing at pedestrian pace again i'm not surprised"]
[' oh look utd playing at pedestrian pace again what a surprise', ' we are used that utd players are slow']
[" lrt bad answer don't draft him leafs", " lrt good answer don't draft him leafs"]
[' can we get rid of turner now please ?', " we can't get rid of turner now"]
[' can we get rid of turner now please ?', " let's keep turner"]
[' i love when they run the same commercial twice in a row', ' i hate it when they run the same commercial twice in a row']
[' i love when they run the same commercial twice in a row', ' i cannot stand seeing the same commerical twice in a row']
[' some people are just really brilliant', ' some people are just really dull']
[' some people are just really brilliant', ' some people are just foolish']
[' some people are just really brilliant', ' some people are just really dumb']
[' im used to being used by others now im thinking of being useless then', ' im used to being used by others now im thinking of being useful then']
[' im used to being used by others now im thinking of being useless then', " i don't like being used by other people"]
[' im used to being used by others now im thinking of being useless then', ' am tired of being taken for granted now am thinking of being hardcore']
[" good job there's people around to tell me what i want or i'd be so confused about everything 2 2", " good job there's people around to tell me what i want or i'd be so confused about everything 2 2"]
[" good job there's people around to tell me what i want or i'd be so confused about everything 2 2", " i don't need people around me to tell what i want"]
[' now trump is bringing up bill clinton 90 s affairs because we all know there are no current day pressing matters to focus on', ' why will trump bring up bill clinton 90 s affairs when we all know there are lot of current day pressing matters to focus on']
[' now trump is bringing up bill clinton 90 s affairs because we all know there are no current day pressing matters to focus on', ' there are important matters to focus on instead of bringing up affairs of bill clinton from the 1990 s']
[" most of our bosses employee what is your name ? boss i'm 19 years old", " most of our bosses employee what is your name ? boss i'm 19 years old"]
[" if you are cameroonian don't play soccer it's deadly mcvivian foe now patrick ekeng just saying", " if you are cameroonian don't play soccer it's deadly mcvivian foe now patrick ekeng an advice"]
[" if you are cameroonian don't play soccer it's deadly mcvivian foe now patrick ekeng just saying", ' mcvivian foe now patrick ekeng have died not implying you will die if you cameroonian and play soccer']
[' i joke about some weird shit i need to start hashtagging on everything i joke about lol', " i joke about some weird shit i don't need to start hashtagging on everything i joke about lol"]
[' i joke about some weird shit i need to start hashtagging on everything i joke about lol', ' i joke about some weird shit i need to stop hashtagging on everything i joke about lol']
[' i joke about some weird shit i need to start hashtagging on everything i joke about lol', ' there is no need to start hashtagging everything you joke about']
[' wow microsoft is squeezing their storage consumers who could have seen that coming ?', ' wow microsoft is squeezing their storage consumers every one expected that']
[' wow microsoft is squeezing their storage consumers who could have seen that coming ?', ' it is not surprising that microsoft is squezzing their storage customers']
[' i didnt know yishun to admiralty takes more than 15 mins', ' i knew yishun to admiralty takes fewer minutes']
[' i didnt know yishun to admiralty takes more than 15 mins', ' i knew yishun to admiralty takes more than 15 mins']
[' this shit almost always comes from people with majority identities who are tired of seeing minorities call shit out', ' this shit almost always comes from people with majority identities who are tired of seeing minorities call shit out']
[" is it bc chinese govt think they have billions of people and that's why they want to use a war to clams anywhere they wants ?", " is it bc chinese govt think they have billions of people and that's why they want to use a war to clams anywhere they wants ?"]
[' perfect freakin weekend to be sick', ' not a perfect freakin weekend to be sick']
[' perfect freakin weekend to be sick', ' bummer freaking weekend to be sick']
[' perfect freakin weekend to be sick', ' the worst days to become sick']
[' perfect freakin weekend to be sick', ' this is the worst weekend to be sick']
[' drunk people at concerts are my favorite', ' drunk people at concerts are never my favorite']
[' drunk people at concerts are my favorite', " i don't like drunk people around me at the concerts"]
[' drunk people at concerts are my favorite', ' i hate drunk people at concerts']
[" we've got a wild one in lithia", " we've got a tamed one in lithia"]
[" we've got a wild one in lithia", " we've got a civilised one in lithia"]
[" should be a language in itself with certification et al it's a quick way to assess someone's intelligence and spontaneity", " should be a language in itself with certification et al it's a slowest way to assess someone's intelligence and spontaneity"]
[" should be a language in itself with certification et al it's a quick way to assess someone's intelligence and spontaneity", " sarcasm should not be a language in itself with certification et al it's not a quick way to assess someone's intelligence and spontaneity"]
[" should be a language in itself with certification et al it's a quick way to assess someone's intelligence and spontaneity", ' sarcasm should be taken seriously to determine someone s knowledge']
[" lido keeps opening my sc that's what i call lit", " lido keeps opening my sc that's what i call lit"]
[" lido keeps opening my sc that's what i call lit", " lido keeps opening my sc that's what i call annoying"]
[' the angels are so good', ' the angels are so bad']
[' the angels are so good', " i don't like angels"]
[' the angels are so good', ' the angels are really bad']
[" all these drivers wouldn't be running out of fuel under caution if not for this caution clock thanks nascar for a genus idea", ' all these drivers would be running out of fuel under caution if not for this caution clock thanks nascar for a genus idea']
[" all these drivers wouldn't be running out of fuel under caution if not for this caution clock thanks nascar for a genus idea", " nascar's caution clock does not help drivers"]
[" all these drivers wouldn't be running out of fuel under caution if not for this caution clock thanks nascar for a genus idea", ' it was very ingenious of nascar to have the caution clock all these drivers keep running out of fuel under caution']
[' i believe it is time to finally relieve the burden of my secret world i am a heterosexual whew that feels so much better', ' i believe it is time to finally relieve the burden of my secret world i am a heterosexual whew that feels so much worse']
[' i believe it is time to finally relieve the burden of my secret world i am a heterosexual whew that feels so much better', ' heterosexuals do not need to hide their sexuality']
[' ron kulpa is the picture of professionalism', ' ron kulpa is not a picture of professionalism']
[' ron kulpa is the picture of professionalism', ' ron kulpa is the picture of amateurism']
[' ron kulpa is the picture of professionalism', ' ron kulpa is so nonprofessional']
[' ron kulpa is the picture of professionalism', ' ron kulpa is he picture of unprofessionalism']
[' ron kulpa is the picture of professionalism', ' ron kulpa is the opposite of professionalism']
[' this day could not get any better', ' this day could get much better']
[' this day could not get any better', ' i had a horrible day']
[' this day could not get any better', ' this day is continuing to get worse']
[' maybe i should start tweeting about um reptilians and the earth being flat lol', ' maybe i should start tweeting about um m everything that comes my way']
[' maybe i should start tweeting about um reptilians and the earth being flat lol', ' people tweet vacant ideas and things']
[' maybe i should start tweeting about um reptilians and the earth being flat lol', ' i have no reason to tweet about um reptilians and the earth being flat']
[" chris young vs andrew miller ? this'll go well", ' chris young vs andrew miller ? this wont go well']
[" chris young vs andrew miller ? this'll go well", " chris young vs andrew miller ? this'll go awry"]
[" chris young vs andrew miller ? this'll go well", ' chris young vs andrew miller ? this will be bad']
[' wonderful tim mccarver is calling the cards game just tuned in', ' dammit tim mccarver is calling the cards game just tuned in']
[' i love getting invited to do things it never happens', ' i hate getting invited to do things it never happens']
[' i love getting invited to do things it never happens', ' i never get invited to things']
[' i love getting invited to do things it never happens', ' i hate getting invited to do things but it always happen']
[' wait you mean roberts found someone else in the bullpen other than hatcher or baez ?', ' wait you mean roberts did not found anyone else in the bullpen other than hatcher or baez ?']
[' wait you mean roberts found someone else in the bullpen other than hatcher or baez ?', ' there is only hatcher or baez in the bullpen']
[' wait you mean roberts found someone else in the bullpen other than hatcher or baez ?', " i wouldn't expect roberts to find someone else in the bullpen other than hatcher or baez"]
[" goodbye for those ' real ' fans", " goodbye for those ' fake ' fans"]
[" goodbye for those ' real ' fans", ' happy to dismiss the bad fans']
[" goodbye for those ' real ' fans", ' see you later all you fake fans']
[' just living the fucking life', ' just living the fucking dream']
[' just living the fucking life', ' i detest this the fucking dream']
[' just living the fucking life', ' it is only in the dream not in real life']
[' just living the fucking life', ' my life is a nightmare']
[' wuntil my friends are bored and blowing my phone up begging to hangout', ' waiting anxiously to see my friends get bored and blowing my phone up begging to hangout']
[' wuntil my friends are bored and blowing my phone up begging to hangout', ' i don t want my friends to call me when they are bored for us to hang out']
[" just spent 60 on 3 things thanx kohl's", " just spent 60 on 3 things thanx kohl's"]
[" just spent 60 on 3 things thanx kohl's", ' just spent 60 on 3 things damn kohl']
[" just spent 60 on 3 things thanx kohl's", " not happy to spend 60 on 3 things in kohl's"]
[' so glad brandon moss was aggressive on a 3 2 pitch down the middle great to see him get a good cut on it', ' so glad brandon moss was aggressive on a 3 2 pitch down the middle great to see him get a bad cut on it']
[' so glad brandon moss was aggressive on a 3 2 pitch down the middle great to see him get a good cut on it', ' so sad brandon moss was not aggressive on a 3 2 pitch down the middle sad to see him get a bad cut on it']
[' so glad brandon moss was aggressive on a 3 2 pitch down the middle great to see him get a good cut on it', ' so annoyed that brandon moss was aggressive on a 3 2 pitch down the middle not happy to see him get a good cut on it']
[" it's so nice when nothing goes right", ' not so nice when nothing goes right']
[" it's so nice when nothing goes right", " t's so annoying when nothing goes right"]
[" it's so nice when nothing goes right", ' it is so horrible when everything goes wrong']
[' excited for tonight', ' not happy for tonight']
[' excited for tonight', ' unmoved for tonight']
[' excited for tonight', ' i am not looking forward to tonight']
[' because a sude deniz relationship is what kiralik ask was missing', ' a sude deniz relationship is not what kiralik ask was missing']
[" i feel so sorry for the innocent bush family who've never done anything negative in their political campaigns", " i feel so sorry for the innocent bush family who've never done anything positive in their political campaigns"]
[" i feel so sorry for the innocent bush family who've never done anything negative in their political campaigns", " i don't feel sorry for the guiltiy bush family since they've done everything negative in their political campaigns"]
[" i feel so sorry for the innocent bush family who've never done anything negative in their political campaigns", ' i am not sorry at all for the bush family as they did so many negative things in their political campaigns']
[" battlefield 1 might be good but it's clearly not the authentic ww1 game many myself included were hoping for shocking", " battlefield 1 might be good but it's clearly not the authentic ww1 game many myself included were hoping for shocking"]
[" battlefield 1 might be good but it's clearly not the authentic ww1 game many myself included were hoping for shocking", " battlefield 1 is not good it's clearly not the authentic ww1 game many myself included were hoping for shocking"]
[" battlefield 1 might be good but it's clearly not the authentic ww1 game many myself included were hoping for shocking", ' not surprised that battlefield 1 is not the authentic ww1 game']
[" let's see what kinguvdawhirled tweeted about the election pinpointing the exact moment the media gave up", " let's see what kinguvdawhirled tweeted about the election not focusing on the exact moment the media gave up"]
[" shit sunday is mother's day i forgot am i the only one ? i'm a bad daughter maybe mom is right i do treat her like shit", " shit sunday is mother's day i forgot am i the only one ? i'm a bad daughter maybe mom is right i do treat her like shit"]
[" shit sunday is mother's day i forgot am i the only one ? i'm a bad daughter maybe mom is right i do treat her like shit", " sunday is mother's day i won't forget i'm a good daughter i treat my mom well"]
[" shit sunday is mother's day i forgot am i the only one ? i'm a bad daughter maybe mom is right i do treat her like shit", " my mum ridiculously thinks that i am a bad daughter because i forget the mother's day i am not a bad daughter"]
[" shit sunday is mother's day i forgot am i the only one ? i'm a bad daughter maybe mom is right i do treat her like shit", " shit sunday is mother's day i forgot am i the only one ? i'm a bad daughter maybe mom is right i do treat her like shit"]
[' why is it sooooooo easy for me to be sarcastic i have to bite my tongue from not saying harmful words', ' why is it sooooooo easy for me to be sarcastic i have to bite my tongue from not saying harmful words']
[' why is it sooooooo easy for me to be sarcastic i have to bite my tongue from not saying harmful words', ' i can never be sarcastic towards people and say harmful things to them']
[' good job mo just what we need people carrying guns on college campuses that will make everyone safer', ' this is on call for mo not what we need people carrying guns on college campuses that will make everyone scared']
[' good job mo just what we need people carrying guns on college campuses that will make everyone safer', ' guns should not be allowed on college campusus it never serves to make anyone safer']
[' good job mo just what we need people carrying guns on college campuses that will make everyone safer', ' what a bad move mo we don t need people carrying guns on college campuses it will not make everyone safer']
[" and now it's raining again nice", " and now it's raining again shit"]
[" and now it's raining again nice", ' it has rained almost all the time and annoyingly it has started again']
[" and now it's raining again nice", " and now it's raining again horrible"]
[' made doubly fun by the fact i had to drag my kids with me nothing more fun than sitting in a waiting room with squirrely kids', ' made doubly worse by the fact i had to drag my kids with me nothing more boring than sitting in a waiting room with squirrely kids']
[' made doubly fun by the fact i had to drag my kids with me nothing more fun than sitting in a waiting room with squirrely kids', ' made doubly irritated by the fact i had to drag my kids with me nothing more irritating than sitting in a waiting room with squirrely kids']
[' awesome day', ' bad day']
[' awesome day', ' horrible day']
[" i hope it isn't i really hope it isn't but sure whatever nice to see there are still hate groups in this world", " i hope it isn't i really hope it isn't but sure whatever hate to see there are still hate groups in this world"]
[" i hope it isn't i really hope it isn't but sure whatever nice to see there are still hate groups in this world", ' it is awful to see hate groups in this world']
[' i swear i have the best of luck', ' i swear i have the worst of luck']
[' i swear i have the best of luck', ' i am the unluckiest person on earth']
[" don't you hate it when you're really impressed with your own witty comment and no one else seems to get it ?", " do you love it when you're really impressed with your own witty comment and no one else seems to get it ?"]
[" don't you hate it when you're really impressed with your own witty comment and no one else seems to get it ?", ' it s so amazing to be impressed by your won witty comment and no one else seems to get it']
[" today's workout carrying a suitcase up and down the subway stairs yea core muscles", " today's workout carrying a suitcase up and down the subway stairs yea core muscles"]
[" today's workout carrying a suitcase up and down the subway stairs yea core muscles", ' i am annoyed by carrying my suit case up and down']
[" today's workout carrying a suitcase up and down the subway stairs yea core muscles", " today's workout carrying a suitcase up and down the subway stairs yea core muscles"]
[" today's workout carrying a suitcase up and down the subway stairs yea core muscles", ' i console myself that carrying a suitcase up and down the subway stairs is a work out my poor core muscles']
[" i bet italy will have a simple staging too but of course it's still a winner france will never win that's obvious", " i bet italy will have a simple staging too but of course it's still a winner france will surely win that's obvious"]
[" i bet italy will have a simple staging too but of course it's still a winner france will never win that's obvious", " i bet italy will have a great staging too but of course it's still a loser france will win that's obvious"]
[' every time when i loose weight i find it in refrigerator', ' every time when i loose weight i gain it double']
[' every time when i loose weight i find it in refrigerator', ' every time when i gain weight i find it in refrigerator']
[' every time when i loose weight i find it in refrigerator', ' every time when i loose weight i find it in refrigerator']
[' every time when i loose weight i find it in refrigerator', ' i never loose weight since i always eat the food in the refrigerator']
[' charles manyuchi beats dmitry mikhaylenko that s gotta qualify him for an hbo cofeature right ?', ' charles manyuchi beats dmitry mikhaylenko which can not s qualify him for an hbo cop feature']
